place_code,description,description_chin
HTT9,Table Tennis Court 9,
HTEN4_6,Tennis Courts 4_6,
HTEN1_3,Tennis Courts 1_3,
HGYM,Fitness Room,
HTTR,Table Tennis Room,
HPAV,Sports Pavilion,
HTEN7,Tennis Court 7,
HTEN6,Tennis Court 6,
HDR,Dance Room,
HMPR,Multi-Purpose Room,
HTEN5,Tennis Court 5,
HTEN9,Tennis Court 9,
HTEN8,Tennis Court 8,
HTEN4,Tennis Court 4,
HMSP,Mini Artificial Turf Soccer Pitch,
HBC,Beach Court,
HAR,Archery Range,
HTEN3,Tennis Court 3,
HTEN2,Tennis Court 2,
HTEN1,Tennis Court 1,
HSQ5,Squash Court 5,
HSQ4,Squash Court 4,
HSQ3,Squash Court 3,
HSQ2,Squash Court 2,
HSQ1,Squash Court 1,
HSCW,Sport Climbing Wall,
HSQ1~3,Squash Court 1~3,
N9,UM Stadium (N9),
HTT3,Table Tennis Court 3,
HTT2,Table Tennis Court 2,
HTT5~9,Table Tennis Court 5 ~ 9,
HTT8,Table Tennis Court 8,
HBW,Bouldering Wall,
HATR,Activity Room,
HSP,Swimming Pool,
N9_Run,Running Track,
HZZ,UM Sports Facilities User Card,
HBC5~8,Badminton Court 5~8,
HBC8,Badminton Court 8,
HBC7,Badminton Court 7,
HBC6,Badminton Court 6,
HBC5,Badminton Court 5,
VB,Outdoor Volleyball Court,
BA12_14,Outdoor Basketball Court 12 _ 14,
BA10_11,Outdoor Basketball Court 10 _ 11,
HBH,Badminton Hall,
HBC4,Badminton Court 4,
HBC3,Badminton Court 3,
HBC2,Badminton Court 2,
HTT6,Table Tennis Court 6,
HTT4,Table Tennis Court 4,
HTT1,Table Tennis Court 1,
HBC1,Badminton Court 1 ,
HTC1,Training Court 1(Basketball/VolleyBall),
N9_HalfB,Grass Soccer Pitch (Half Court B),
HTT7,Table Tennis Court 7,
HTT5,Table Tennis Court 5,
HTC2,Training Court 2(Basketball/VolleyBall),
HTH,Training Hall,
1FCA,1st Floor Common Area,
HLBG,Lawn Bowling Green,
HTT1~4,Table Tennis Court 1 ~ 4,
BA8_9,Outdoor Basketball Court 8 _ 9,
BA3_5,Outdoor Basketball Court 3 _ 5,
BA1_2,Outdoor Basketball Court 1 _ 2,
BA14,Outdoor Basketball Court 14,
BA13,Outdoor Basketball Court 13,
BA12,Outdoor Basketball Court 12,
BA11,Outdoor Basketball Court 11,
BA10,Outdoor Basketball Court 10,
BA9,Outdoor Basketball Court 9,
BA8,Outdoor Basketball Court 8,
BA5,Outdoor Basketball Court 5,
BA4,Outdoor Basketball Court 4,
N9_HalfA,Grass Soccer Pitch (Half Court A),
HSCW_BW,Sport Climbing_Bouldering Wall,
HTEN7_9,Tennis Courts 7_9,
BA7,Outdoor Basketball Court 7,
BA6,Outdoor Basketball Court 6,
BA6_7,Outdoor Basketball Court 6 _ 7,
BA3,Outdoor Basketball Court 3,
BA1,Outdoor Basketball Court 1,
HSPL9,Swimming Pool Lane 9,
HSPL8,Swimming Pool Lane 8,
HSPL7,Swimming Pool Lane 7,
HSPL6,Swimming Pool Lane 6,
HSPL5,Swimming Pool Lane 5,
HSPL4,Swimming Pool Lane 4,
HSPL3,Swimming Pool Lane 3,
HSPL2,Swimming Pool Lane 2,
BA2,Outdoor Basketball Court 2,
HSPL1,Swimming Pool Lane 1,
HSPL0,Swimming Pool Lane 0,
